id,codigo,descripcion,categoria,sub_categoria,unidad_medida,material,caracteristica2,caracteristica3,grupo,precio_actual_usd,almacen,cantidad,datos,grup,nombre_producto,id_producto,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock,precio_unitario_usd,costo_logistica_usd,costo_almacenamiento_usd,costo_administrativo_usd,costo_indirecto_total_usd,costo_total_unitario_usd,valor_stock_final_usd
5498-RETENES,5498,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,2.0,,,5498-RETENES,90,2025-02-03,78.0,14,31.0,61.0,27,Proveedor A,4,ok,23.61,0.83,1.03,0.45,2.31,25.92,1581.12
M12X45-BULONES,M12X45,BULONES,mecanica,HEXAGONAL,unidad,COMUN,M12X45,,ACERO COMUN,,1.0,0.0,,,M12X45-BULONES,91,2025-01-25,90.0,29,2.0,117.0,25,Proveedor C,8,ok,9.63,0.44,0.43,0.3,1.17,10.8,1263.6
10836-RETENES,10836,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,10836-RETENES,92,2025-01-10,70.0,25,7.0,88.0,14,Proveedor D,2,ok,8.52,0.45,0.19,0.12,0.76,9.28,816.64
7-MECHA,7,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,7,,MECHAS,,,0.0,,,7-MECHA,93,2025-06-23,37.0,18,25.0,30.0,19,Proveedor C,8,ok,5.97,0.41,0.31,0.16,0.88,6.85,205.5
M8-TUERC MARIPOSA MACH,M8,TUERC MARIPOSA MACH,mecanica,TUERC MARIP MACH,unidad,COMUN,M8,,ACERO COMUN,,1.0,-6.0,,,M8-TUERC MARIPOSA MACH,94,2025-04-29,79.0,22,12.0,89.0,21,Proveedor C,4,ok,17.83,1.39,0.66,0.53,2.58,20.41,1816.49
6902RS-Ruleman,6902RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6902RS-Ruleman,95,2025-05-26,111.0,18,25.0,104.0,8,Proveedor B,3,ok,5.56,0.54,0.21,0.14,0.89,6.45,670.8
4-FRESA,4,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,4,,MECHAS,,,2.0,,,4-FRESA,96,2025-03-26,37.0,0,9.0,28.0,11,Proveedor B,10,ok,8.66,0.27,0.16,0.26,0.69,9.35,261.8
M14-TUERCA INOX,M14,TUERCA INOX,mecanica,TUERCA INOX,unidad,INOXIDABLE,M14,,INOXIDABLE,,1.0,0.0,,,M14-TUERCA INOX,97,2025-01-01,41.0,10,8.0,43.0,29,Proveedor D,6,bajo,8.62,1.01,0.13,0.2,1.34,9.96,428.28
"10,25-MECHA",10.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10.25,,MECHAS,,,2.0,,,"10,25-MECHA",98,2025-03-15,100.0,26,8.0,118.0,22,Proveedor A,12,ok,9.39,0.99,0.48,0.21,1.68,11.07,1306.26
M10X20 -BUL HEX INOX,M10X20,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10X20,,INOXIDABLE,,,22.0,,,M10X20 -BUL HEX INOX,99,2025-03-17,73.0,15,20.0,68.0,36,Proveedor C,5,ok,17.37,1.12,0.26,0.22,1.6,18.97,1289.96
6320-RETENES,6320,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,6.0,,,6320-RETENES,100,2025-05-22,43.0,20,7.0,56.0,24,Proveedor D,4,ok,8.63,0.35,0.48,0.26,1.09,9.72,544.32
6005-Z7-Ruleman,6005-Z7,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6005-Z7-Ruleman,101,2025-02-16,102.0,33,0.0,135.0,34,Proveedor A,8,ok,6.45,,0.21,0.1,1.02,7.47,1008.45
T90-TELA ESMERIL,T90,TELA ESMERIL,mecanica,,,,,,VARIOS,,,,,,T90-TELA ESMERIL,102,2025-02-24,68.0,17,12.0,73.0,16,Proveedor A,9,ok,9.23,0.67,0.42,0.32,1.41,10.64,776.72
M6X20-BULONES,M6X20,BULONES,mecanica,BULONES,unidad,COMUN,M6X20,VER QUE CABEZA ES,ACERO COMUN,,1.0,0.0,,,M6X20-BULONES,103,2025-01-19,43.0,16,29.0,30.0,10,Proveedor D,4,ok,2.48,0.16,0.15,0.09,0.4,2.88,86.4
16002-2Z-Ruleman,16002-2Z,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,,104,2025-01-19,74.0,20,13.0,81.0,18,Proveedor C,4,ok,16.62,0.71,0.4,0.53,1.64,18.26,1479.06
6804Z-2RS-Ruleman,6804Z-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6804Z-2RS-Ruleman,105,2025-02-22,49.0,8,22.0,35.0,22,Proveedor A,4,ok,4.85,0.25,0.22,0.17,0.64,5.49,192.15
M10 X 35-ALLEN INOX,M10 X 35,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M10X35,,INOXIDABLE,,1.0,100.0,,,M10 X 35-ALLEN INOX,106,2025-01-18,29.0,13,15.0,27.0,21,Proveedor A,7,bajo,16.42,1.84,0.46,0.29,2.59,19.01,513.27
6006-2RS-Ruleman,6006-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6006-2RS-Ruleman,107,2025-06-23,38.0,23,16.0,45.0,28,Proveedor C,9,error,15.36,1.63,0.74,0.54,2.91,18.27,822.15
M20-BULONES,M20,BULONES,mecanica,BULONES,unidad,COMUN,M20,,ACERO COMUN,,1.0,6.0,,,M20-BULONES,108,2025-05-08,49.0,11,12.0,48.0,23,Proveedor A,14,ok,14.74,0.52,0.65,0.2,1.37,16.11,773.28
6211-2RS-Ruleman,6211-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6211-2RS-Ruleman,109,2025-04-02,9.0,10,11.0,8.0,14,Proveedor B,9,critico,41.47,4.52,1.85,1.52,7.89,49.36,394.88
6006-2RS-Ruleman,6006-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6006-2RS-Ruleman,110,2025-02-22,60.0,25,21.0,64.0,20,Proveedor D,3,ok,23.71,1.45,1.4,0.38,3.23,26.94,1724.16
M24-ARANDELA INOX,M24,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M24,,INOXIDABLE,,1.0,33.0,,,M24-ARANDELA INOX,111,2025-01-14,84.0,24,5.0,103.0,13,Proveedor A,17,ok,27.86,1.63,0.85,0.28,2.76,30.62,3153.86
F208-CAJA RODAMIENTO,F208,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,F208-CAJA RODAMIENTO,112,2025-03-14,36.0,4,10.0,30.0,32,Proveedor A,7,critico,8.48,0.59,0.28,0.18,1.05,9.53,285.9
10-FRESA,10,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10,,MECHAS,,,3.0,,,10-FRESA,113,2025-04-11,67.0,26,0.0,93.0,1,Proveedor C,2,ok,57.01,2.63,1.0,1.86,5.49,62.5,5812.5
M26-TUERCA,M26,TUERCA,mecanica,TUERCA,unidad,COMUN,M26,,ACERO COMUN,,1.0,0.0,,,M26-TUERCA,114,2025-05-12,37.0,22,25.0,34.0,20,Proveedor C,1,ok,20.18,0.94,0.43,0.58,1.95,22.13,752.42
M10x25-BUL HEX INOX,M10x25,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x25,,INOXIDABLE,,1.0,13.0,,,M10x25-BUL HEX INOX,115,2025-01-18,27.0,25,8.0,44.0,27,Proveedor A,10,ok,10.67,0.39,0.39,0.2,0.98,11.65,512.6
"1,75-MECHA",1.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1.75,,MECHAS,,,1.0,,,"1,75-MECHA",116,2025-01-18,38.0,16,0.0,54.0,27,Proveedor B,8,ok,42.31,3.19,0.94,1.12,5.25,47.56,-187.0
M10x25-BUL HEX INOX,M10x25,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x25,,INOXIDABLE,,1.0,13.0,,,M10x25-BUL HEX INOX,117,2025-06-12,35.0,17,10.0,42.0,16,Proveedor A,8,ok,27.54,1.9,1.03,0.82,3.75,31.29,1314.18
M6-TUERCA,M6,TUERCA,mecanica,TUERCA,unidad,COMUN,M6,,ACERO COMUN,,1.0,259.0,,,M6-TUERCA,118,2025-06-12,63.0,24,24.0,63.0,26,Proveedor D,9,ok,41.39,2.81,0.43,0.67,3.91,45.3,2853.9
M5X25-ALLEN,M5X25,ALLEN,mecanica,ALLEN,unidad,COMUN,M5X25,,ACERO COMUN,,1.0,0.0,,,M5X25-ALLEN,119,2025-01-22,64.0,16,23.0,57.0,17,Proveedor C,6,ok,9.44,1.1,0.11,0.1,1.31,10.75,612.75
M5-MACHOS,M5,MACHOS,mecanica,herramental de corte,unidad,ACERO RAPIDO,M5,,MECHAS,,,3.0,,,M5-MACHOS,120,2025-04-22,42.0,11,17.0,36.0,14,Proveedor A,7,ok,23.06,1.4,0.4,0.63,2.43,25.49,917.64
SCS25LUU-RODAMIENTO,SCS25LUU,RODAMIENTO,herramientas,,unidad,,,,MENINO,,1.0,0.0,,,SCS25LUU-RODAMIENTO,121,2025-04-12,63.0,17,9.0,71.0,18,Proveedor C,6,ok,47.27,4.67,0.69,0.49,5.85,53.12,3771.52
"5,25-MECHA",5.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,5.25,,MECHAS,,,0.0,,,"5,25-MECHA",122,2025-05-30,80.0,0,13.0,67.0,32,Proveedor C,6,ok,14.67,0.49,0.64,0.39,1.52,16.19,1084.73
51205-Ruleman,51205,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,51205-Ruleman,123,2025-03-27,59.0,22,3.0,78.0,24,Proveedor D,8,ok,57.25,2.45,1.6,1.25,5.3,62.55,4878.9
7439-RETENES,7439,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,7439-RETENES,124,2025-06-13,46.0,20,14.0,52.0,15,Proveedor B,5,ok,21.62,1.28,0.81,0.66,2.75,24.37,1267.24
M16X62-BULONES HEXAG,M16X62,BULONES HEXAG,mecanica,BULONES HEXG,unidad,COMUN,M16X120,,ACERO COMUN,,1.0,0.0,,,M16X62-BULONES HEXAG,125,2025-04-08,92.0,27,10.0,109.0,17,Proveedor D,9,ok,17.45,0.76,0.3,0.48,1.54,18.99,2069.91
SCS20-RODAMIENTO,SCS20,RODAMIENTO,electrico,,unidad,SCS 20,,,MENINO,,1.0,0.0,,,SCS20-RODAMIENTO,126,2025-02-03,25.0,9,17.0,17.0,1,Proveedor C,10,ok,27.35,2.96,1.12,0.92,5.0,32.35,549.95
UCP 205-CAJA RODAMIENTO,UCP 205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,29.0,,,UCP 205-CAJA RODAMIENTO,127,2025-01-19,87.0,21,25.0,83.0,25,Proveedor A,8,ok,14.07,0.84,0.82,0.44,2.1,16.17,1342.11
3214TNG-Ruleman,3214TNG,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,1.0,,,3214TNG-Ruleman,128,2025-04-01,97.0,0,14.0,83.0,20,Proveedor A,3,ok,35.63,1.8,0.51,0.73,3.04,38.67,3209.61
GE17ES-RODAMIENTO,GE17ES,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,GE17ES-RODAMIENTO,129,2025-03-23,64.0,31,14.0,81.0,25,Proveedor D,7,ok,5.64,0.42,0.21,0.22,0.85,6.49,525.69
M10X140-BULONES,M10X140,BULONES,mecanica,BULONES,unidad,COMUN,M10X140,,ACERO COMUN,,1.0,26.0,,,M10X140-BULONES,130,2025-02-04,39.0,11,18.0,32.0,23,Proveedor B,6,bajo,26.4,2.33,0.74,0.4,3.47,29.87,955.84
"M8X1""-BUL HEX INOX","M8X1""",BUL HEX INOX,mecanica,HEXAGONAL,unidad,INOXIDABLE,"8X1""",,INOXIDABLE,,1.0,-4.0,,,"M8X1""-BUL HEX INOX",131,2025-04-22,42.0,25,15.0,52.0,18,Proveedor B,7,ok,16.31,0.61,0.65,0.46,1.72,18.03,937.56
M10X45-BULON EXAGONAL,M10X45,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,"10X1,5X45",paso completo,ACERO COMUN,0.26,1.0,148.0,,,M10X45-BULON EXAGONAL,132,2025-04-18,15.0,14,0.0,29.0,14,Proveedor B,1,ok,0.25,0.01,0.01,0.0,0.02,0.27,7.83
M8X30-BUL HEX INOX,M8X30,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X30,,INOXIDABLE,,1.0,31.0,,,M8X30-BUL HEX INOX,133,2025-03-03,94.0,24,19.0,99.0,13,Proveedor C,10,ok,12.68,0.42,0.44,0.29,1.15,13.83,1369.17
M4X10-BULON EXAGONAL,M4X10,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,4X10,,ACERO COMUN,,1.0,0.0,-16,,M4X10-BULON EXAGONAL,134,2025-04-23,84.0,20,26.0,78.0,16,Proveedor C,9,ok,12.88,1.19,0.34,0.47,2.0,14.88,1160.64
F208-CAJA RODAMIENTO,F208,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,F208-CAJA RODAMIENTO,135,2025-02-21,70.0,28,15.0,83.0,5,Proveedor B,6,ok,38.7,1.35,1.94,1.24,4.53,43.23,3588.09
SVCF PLN205-CAJA RODAMIENTO,SVCF PLN205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,INOXIDABLE,,,ACERO COMUN,,1.0,0.0,,,SVCF PLN205-CAJA RODAMIENTO,136,2025-01-01,40.0,23,22.0,41.0,18,Proveedor D,9,ok,33.68,4.02,1.17,0.65,5.84,39.52,1620.32
M13-TUERCA,M13,TUERCA,mecanica,TUERCA,unidad,COMUN,M13,,ACERO COMUN,,1.0,0.0,,,M13-TUERCA,137,2025-03-19,65.0,37,9.0,93.0,18,Proveedor B,9,ok,19.44,2.2,1.12,0.51,3.83,23.27,2164.11
6-MECHA,6,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,6,,MECHAS,,,4.0,,,6-MECHA,138,2025-05-09,73.0,22,3.0,92.0,18,Proveedor B,3,ok,18.42,1.58,1.09,0.44,3.11,21.53,1980.76
"7,25-MECHA",7.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,7.25,,MECHAS,,,0.0,,,"7,25-MECHA",139,2025-03-14,81.0,13,14.0,80.0,12,Proveedor C,7,ok,65.25,7.67,1.6,2.45,11.72,76.97,6157.6
M6-MECHA MACHO P ROSCAR,M6,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M6,,MECHAS,,,1.0,,,M6-MECHA MACHO P ROSCAR,140,2025-04-12,50.0,11,0.0,61.0,13,Proveedor D,14,ok,11.28,0.65,0.4,0.28,1.33,12.61,769.21
10836-RETENES,10836,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,10836-RETENES,141,2025-03-14,64.0,36,1.0,99.0,6,Proveedor A,3,ok,40.53,1.4,2.16,1.0,4.56,45.09,4463.91
7-MECHA,7,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,7,,MECHAS,,,0.0,,,7-MECHA,142,2025-02-15,52.0,24,29.0,47.0,17,Proveedor C,6,ok,18.46,1.83,0.29,0.63,2.75,21.21,996.87
M8-MECHA MACHO P ROSCAR,M8,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M8,,MECHAS,,,1.0,,,M8-MECHA MACHO P ROSCAR,143,2025-03-05,5.0,12,18.0,0.0,21,Proveedor C,3,critico,13.52,0.84,0.48,0.3,1.62,15.14,0.0
M12-ALLEN,M12,ALLEN,mecanica,ALLEN,unidad,COMUN,M12,,ACERO COMUN,,1.0,16.0,,,M12-ALLEN,144,2025-04-03,37.0,4,11.0,30.0,14,Proveedor C,2,ok,6.05,0.3,0.24,0.07,0.61,6.66,199.8
M10-ARANDELA,M10,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M10,,ACERO COMUN,,1.0,708.0,hay una caja,,M10-ARANDELA,145,2025-01-20,40.0,17,22.0,35.0,21,Proveedor D,7,ok,9.75,0.3,0.49,0.31,1.1,10.85,379.75
m 5x25-BULONES HEXG,m 5x25,BULONES HEXG,mecanica,BULONES HEXAG,unidad,COMUN,m5x25,,ACERO COMUN,,1.0,0.0,,,m 5x25-BULONES HEXG,146,2025-04-24,67.0,3,22.0,48.0,24,Proveedor B,11,ok,9.74,0.96,0.2,0.13,1.29,11.03,529.44
"M10X65X1,5-BROCA HORMIGON","M10X65X1,5",BROCA HORMIGON,mecanica,BROCA HORMIGON,unidad,COMUN,"M10X1,5",,INOXIDABLE,,1.0,394.0,,,"M10X65X1,5-BROCA HORMIGON",147,2025-02-03,104.0,14,22.0,96.0,22,Proveedor D,4,ok,12.35,1.13,0.22,0.32,1.67,14.02,1345.92
M10 X30-CABEZA FREZADA,M10 X30,CABEZA FREZADA,mecanica,BABEZA FREZADA,unidad,INOXIDABLE,M10X30,,INOXIDABLE,,1.0,,,,M10 X30-CABEZA FREZADA,148,2025-06-21,94.0,24,0.0,118.0,18,Proveedor B,15,ok,15.51,1.13,0.54,0.41,2.08,17.59,2075.62
M10-TUERCA AUT,M10,TUERCA AUT,mecanica,TUERCA AUT,unidad,COMUN,"M10 X 1,5",,ACERO COMUN,0.8,1.0,360.0,ver,,M10-TUERCA AUT,149,2025-06-28,93.0,36,27.0,102.0,27,Proveedor B,3,ok,0.85,0.07,0.01,0.03,0.11,0.96,97.92
3214TNG-Ruleman,3214TNG,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,1.0,,,3214TNG-Ruleman,150,2025-03-07,31.0,29,14.0,46.0,26,Proveedor B,4,ok,17.88,0.57,0.19,0.66,1.42,19.3,887.8
M12X60-BUL HEX INOX,M12X60,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M12X60,,INOXIDABLE,,,21.0,,,M12X60-BUL HEX INOX,151,2025-05-18,72.0,21,17.0,76.0,12,Proveedor D,1,ok,37.57,3.78,2.13,1.41,7.32,44.89,3411.64
M8X50-BUL HEX INOX,M8X50,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X50,,INOXIDABLE,,1.0,15.0,,,M8X50-BUL HEX INOX,152,2025-01-21,61.0,17,2.0,76.0,32,Proveedor A,1,ok,27.29,1.59,1.16,0.8,3.55,30.84,2343.84
5420-RETENES,5420,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,9.0,,,5420-RETENES,153,2025-06-14,47.0,4,14.0,37.0,17,Proveedor A,8,ok,12.07,1.09,0.72,0.12,1.93,14.0,518.0
PHS10-BULON CON RDAMIENTO,PHS10,BULON CON RDAMIENTO,mecanica,BULON CON ROOAMIENTO,unidad,acero comun,M10,,ACERO COMUN,,1.0,2.0,,,PHS10-BULON CON RDAMIENTO,154,2025-04-03,108.0,18,14.0,112.0,20,Proveedor A,1,ok,32.6,3.2,1.43,0.87,5.5,38.1,4267.2
6003-2RSH-Ruleman,6003-2RSH,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,23.0,,,6003-2RSH-Ruleman,155,2025-04-24,24.0,13,35.0,2.0,14,Proveedor A,10,critico,27.36,2.29,1.02,0.71,4.02,31.38,62.76
M5-ALLEN,M5,ALLEN,mecanica,ALLEN,unidad,COMUN,M5,,ACERO COMUN,,1.0,580.0,,,M5-ALLEN,156,2025-05-22,48.0,13,7.0,54.0,14,Proveedor B,7,ok,19.1,2.08,1.0,0.39,3.47,22.57,1218.78
RUEDA FLAP TELA -PULIDORA,RUEDA FLAP TELA,PULIDORA,mecanica,PULIDORA,unidad,RUEDA FLAP TELA,110X 100 M14,,VARIOS,,1.0,1.0,,,RUEDA FLAP TELA -PULIDORA,157,2025-06-25,33.0,32,23.0,42.0,9,Proveedor D,2,ok,15.73,1.28,0.65,0.19,2.12,17.85,749.7
M14-TUERCA INOX,M14,TUERCA INOX,mecanica,TUERCA INOX,unidad,INOXIDABLE,M14,,INOXIDABLE,,1.0,0.0,,,M14-TUERCA INOX,158,2025-06-07,81.0,21,17.0,85.0,19,Proveedor B,4,ok,18.11,1.6,0.21,0.68,2.49,20.6,1751.0
9-MECHA,9,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,9,,MECHAS,,,1.0,,,9-MECHA,159,2025-05-09,97.0,17,12.0,102.0,17,Proveedor A,8,ok,10.77,1.19,0.28,0.11,1.58,12.35,1259.7
M6-ARANDELA INOX,M6,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M6,,INOXIDABLE,,1.0,0.0,,,M6-ARANDELA INOX,160,2025-01-08,80.0,12,21.0,71.0,20,Proveedor A,6,ok,11.44,0.82,0.48,0.13,1.43,12.87,913.77
"10,5-MECHA",10.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10.5,,MECHAS,,,0.0,,,"10,5-MECHA",161,2025-02-01,63.0,32,22.0,73.0,26,Proveedor A,3,ok,30.93,1.7,0.52,0.65,2.87,33.8,2467.4
"6,75-MECHA",6.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,6.75,,MECHAS,,,4.0,,,"6,75-MECHA",162,2025-03-20,49.0,11,13.0,47.0,27,Proveedor D,5,ok,14.83,1.52,0.42,0.55,2.49,17.32,814.04
M12X45-BUL HEX INOX,M12X45,BUL HEX INOX,MEcanica,BULON INOX,UNIDAD,INOXIDABLE,M12X45,,INOXIDABLE,,,5.0,,,M12X45-BUL HEX INOX,163,2025-06-14,63.0,20,20.0,63.0,23,Proveedor C,9,ok,56.31,2.75,0.66,0.83,4.24,60.55,3814.65
m 5x25-BULONES HEXG,m 5x25,BULONES HEXG,mecanica,BULONES HEXAG,unidad,COMUN,m5x25,,ACERO COMUN,,1.0,0.0,,,m 5x25-BULONES HEXG,164,2025-02-26,93.0,13,,94.0,21,Proveedor A,9,ok,8.51,0.85,0.4,0.1,1.35,9.86,926.84
M16X15-BUL HEX INOX,M16X15,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M16X15,,INOXIDABLE,2.33,1.0,27.0,,,M16X15-BUL HEX INOX,165,2025-01-12,57.0,16,8.0,65.0,22,Proveedor C,5,ok,2.13,0.15,0.07,0.04,0.26,2.39,155.35
M26-ARANDELA,M26,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M26,,ACERO COMUN,,1.0,0.0,,,M26-ARANDELA,166,2025-03-12,54.0,7,7.0,54.0,32,Proveedor D,7,ok,25.39,1.87,1.0,0.67,3.54,28.93,1562.22
6-FRESA,6,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,6,,MECHAS,,,1.0,,,6-FRESA,167,2025-04-15,47.0,23,16.0,54.0,11,Proveedor B,5,ok,51.24,3.64,1.36,1.21,6.21,57.45,3102.3
5265-RETENES,5265,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,5265-RETENES,168,2025-01-11,67.0,9,19.0,57.0,5,Proveedor D,4,ok,9.39,0.43,0.16,0.2,0.79,10.18,580.26
6804Z-2RS-Ruleman,6804Z-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6804Z-2RS-Ruleman,169,2025-04-18,81.0,0,20.0,61.0,22,Proveedor D,3,ok,20.17,1.87,0.98,0.79,3.64,23.81,1452.41
1-MECHA,1,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1,,MECHAS,,,3.0,,,1-MECHA,170,2025-03-16,98.0,18,10.0,106.0,23,Proveedor D,13,ok,36.44,1.65,1.4,0.81,3.86,40.3,4271.8
6005-Z7-Ruleman,6005-Z7,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6005-Z7-Ruleman,171,2025-04-17,37.0,21,17.0,41.0,26,Proveedor B,7,ok,12.88,1.43,0.49,0.49,2.41,15.29,626.89
M12-MECHA MACHO P ROSCAR,M12,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M12,,MECHAS,,,1.0,,,M12-MECHA MACHO P ROSCAR,172,2025-06-30,28.0,27,21.0,34.0,18,Proveedor A,6,ok,14.41,0.75,0.36,0.56,1.67,16.08,546.72
M16X62-BULONES,M16X62,BULONES,mecanica,BULONES,unidad,COMUN,M16X62,,ACERO COMUN,,1.0,0.0,,,M16X62-BULONES,173,2025-02-08,69.0,18,17.0,70.0,28,Proveedor A,10,ok,5.06,0.19,0.11,0.06,0.36,5.42,379.4
M4X10-ALLEN INOX,M4X10,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,4X10,,INOXIDABLE,0.07,,0.0,,,M4X10-ALLEN INOX,174,2025-05-13,55.0,25,14.0,66.0,26,Proveedor D,8,ok,0.07,0.0,0.0,0.0,0.0,0.07,4.62
M10X15-BUL HEX INOX,M10X15,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10X15,,INOXIDABLE,,,4.0,,,M10X15-BUL HEX INOX,175,2025-02-13,40.0,7,23.0,24.0,30,Proveedor B,4,critico,7.05,0.77,0.38,0.14,1.29,8.34,200.16
FYTB20TF-CAJA RODAMIENTO,FYTB20TF,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,FYTB20TF-CAJA RODAMIENTO,176,2025-02-11,65.0,8,16.0,57.0,11,Proveedor C,6,ok,26.64,2.51,1.06,0.57,4.14,30.78,1754.46
M17-ARANDELA INOX,M17,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M17,,INOXIDABLE,,1.0,28.0,,,M17-ARANDELA INOX,177,2025-05-23,58.0,29,13.0,74.0,19,Proveedor D,9,ok,13.42,0.75,0.56,0.34,1.65,15.07,1115.18
M8X40-ALLEN INOX,M8X40,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X40,,INOXIDABLE,,1.0,232.0,,,M8X40-ALLEN INOX,178,2025-02-28,81.0,13,28.0,66.0,11,Proveedor D,6,ok,8.64,0.74,0.13,0.32,1.19,9.83,648.78
M10X25-BULON EXAGONAL,M10X25,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,M10X25,,ACERO COMUN,,1.0,28.0,,,M10X25-BULON EXAGONAL,179,2025-01-22,96.0,8,11.0,93.0,29,Proveedor B,10,ok,23.44,1.68,1.12,0.53,3.33,26.77,2489.61
4-MECHA,4,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,4,,MECHAS,,,12.0,,,4-MECHA,180,2025-01-18,64.0,16,5.0,75.0,19,Proveedor A,5,ok,24.87,0.85,1.28,0.95,3.08,27.95,2096.25
7439-RETENES,7439,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,7439-RETENES,181,2025-05-16,81.0,34,13.0,102.0,26,Proveedor C,2,ok,13.65,0.74,0.32,0.26,1.32,14.97,1526.94
