id,codigo,descripcion,categoria,sub_categoria,unidad_medida,material,caracteristica2,caracteristica3,grupo,precio_actual_uusds,almacen,cantidad,datos,grup,nombre_producto,id_producto,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock,precio_unitario_usd,costo_logistica_usd,costo_almacenamiento_usd,costo_administrativo_usd,costo_indirecto_total_usd,costo_total_unitario_usd,valor_stock_final_usd
30011X-9-Ruleman,30011X-9,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,30011X-9-Ruleman,92,2025-04-30,6,15,3,18.0,9.0,Proveedor C,6,ok,5.27,0.32,0.11,0.07,0.5,5.77,103.86
M12X50-BULONES HEXG,M12X50,BULONES HEXG,mecanica,BULONES HEXG,unidad,COMUN,M12X50,,ACERO COMUN,,1.0,10.0,,,M12X50-BULONES HEXG,93,2025-05-20,65,22,7,80.0,33.0,Proveedor C,8,ok,5.48,0.52,0.15,0.11,0.78,6.26,500.8
6006-2RS1-Ruleman,6006-2RS1,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,8.0,,,6006-2RS1-Ruleman,94,2025-03-08,40,27,17,50.0,16.0,Proveedor D,2,ok,12.63,1.02,0.55,0.48,2.05,14.68,734.0
M10X45-BULON EXAGONAL,M10X45,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,"10X1,5X45",paso 30mm y 10mm liso,ACERO COMUN,,1.0,185.0,,,M10X45-BULON EXAGONAL,95,2025-03-16,41,32,10,63.0,17.0,Proveedor D,9,ok,15.15,1.32,0.45,0.46,2.23,17.38,1094.94
SHF20-PIEZA ALUMINIO,SHF20,PIEZA ALUMINIO,ferreteria,,unidad,SHF20,,,MENINO,,1.0,0.0,,,SHF20-PIEZA ALUMINIO,96,2025-02-11,19,18,21,16.0,18.0,Proveedor A,6,critico,9.47,0.6,0.36,0.15,1.11,10.58,169.28
NK-NC 60-FLAP,NK-NC 60,FLAP,mecanica,FLAP,unidad,MANTA ABRASIVA,GRANO 60,,DISCOS DE CORTE,,1.0,256.0,,,NK-NC 60-FLAP,97,2025-03-22,64,11,5,70.0,34.0,Proveedor A,1,ok,19.56,2.14,0.28,0.54,2.96,22.52,1576.4
m16-TUERCA,m16,TUERCA,mecanica,TUERCA,unidad,COMUN,m16,,ACERO COMUN,,1.0,48.0,,,m16-TUERCA,98,2025-04-24,71,25,26,70.0,16.0,Proveedor B,4,ok,32.57,3.7,1.7,0.57,5.97,38.54,2697.8
22210E-Ruleman,22210E,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,22210E-Ruleman,99,2025-06-23,40,26,15,51.0,15.0,Proveedor B,9,ok,11.62,1.33,0.2,0.19,1.72,13.34,680.34
M8X16-BULONES,M8X16,BULONES,mecanica,BULONES,unidad,COMUN,M8X16,,ACERO COMUN,,1.0,0.0,,,M8X16-BULONES,100,2025-05-12,37,16,15,38.0,19.0,Proveedor B,1,ok,27.08,1.67,1.03,0.79,3.49,30.57,1161.66
M8X40-ALLEN INOX,M8X40,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X40,,INOXIDABLE,,1.0,232.0,,,M8X40-ALLEN INOX,101,2025-04-10,33,18,8,43.0,7.0,Proveedor B,4,ok,17.54,1.3,0.78,0.49,2.57,20.11,864.73
M16X60-ALLEN,M16X60,ALLEN,mecanica,ALLEN,unidad,COMUN,M16X60,,ACERO COMUN,,1.0,0.0,,,M16X60-ALLEN,102,2025-06-08,61,23,19,65.0,11.0,Proveedor A,12,ok,16.63,1.48,0.19,0.56,2.23,18.86,1225.9
M5X25-ALLEN,M5X25,ALLEN,mecanica,ALLEN,unidad,COMUN,M5X25,,ACERO COMUN,,1.0,0.0,,,M5X25-ALLEN,103,2025-06-06,52,14,19,47.0,24.0,Proveedor C,7,ok,25.09,2.39,0.38,0.91,3.68,28.77,1352.19
16002-2Z-Ruleman,16002-2Z,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,16002-2Z-Ruleman,104,2025-04-06,75,31,8,98.0,36.0,Proveedor D,1,ok,16.09,0.67,0.6,0.3,1.57,17.66,1730.68
6303RS-Ruleman,6303RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6303RS-Ruleman,105,2025-04-08,98,25,13,110.0,22.0,Proveedor A,5,ok,15.4,1.21,0.74,0.41,2.36,17.76,1953.6
M10X45-BUL HEX INOX,M10X45,BUL HEX INOX,mecanica,HEXAGONAL,unidad,INOXIDABLE,M10X45,,INOXIDABLE,,,9.0,,,M10X45-BUL HEX INOX,106,2025-04-15,69,9,16,62.0,26.0,Proveedor D,8,ok,20.2,0.86,1.1,0.31,2.27,22.47,1393.14
YE1210-Ruleman,YE1210,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,YE1210-Ruleman,107,2025-03-21,80,13,13,80.0,27.0,Proveedor D,13,ok,4.24,0.25,0.21,0.11,0.57,4.81,384.8
R55611-RETENES,R55611,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,R55611-RETENES,108,2025-06-27,40,24,9,55.0,7.0,Proveedor A,7,ok,15.46,1.22,0.45,0.55,2.22,17.68,972.4
8965-RETENES,8965,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,2.0,,,8965-RETENES,109,2025-06-26,47,31,18,60.0,9.0,Proveedor D,13,ok,15.1,1.63,0.54,0.25,2.42,17.52,1051.2
M15-ARANDELA INOX,M15,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M15,,INOXIDABLE,,1.0,9.0,,,M15-ARANDELA INOX,110,2025-03-19,55,22,28,49.0,10.0,Proveedor B,6,ok,15.19,1.76,0.71,0.29,2.76,17.95,879.55
6005RS-Ruleman,6005RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6005RS-Ruleman,111,2025-03-29,33,28,27,34.0,8.0,Proveedor D,3,ok,7.87,0.9,0.39,0.11,1.4,9.27,315.18
UCFPL205-CAJA RODAMIENTO,UCFPL205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,INOXIDABLE,,,ACERO COMUN,,1.0,35.0,,,UCFPL205-CAJA RODAMIENTO,112,2025-03-27,36,13,11,38.0,23.0,Proveedor B,9,ok,18.94,2.09,0.72,0.44,3.25,22.19,843.22
UCP 205-CAJA RODAMIENTO,UCP 205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,29.0,,,UCP 205-CAJA RODAMIENTO,113,2025-06-07,64,21,25,60.0,33.0,Proveedor D,10,ok,25.59,1.38,1.47,0.45,3.3,28.89,1733.4
5498-RETENES,5498,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,2.0,,,5498-RETENES,114,2025-03-20,69,6,15,60.0,12.0,Proveedor B,6,ok,17.47,1.56,0.27,0.54,2.37,19.84,1190.4
10X30-ALLEN INOX,10X30,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,10X30,,INOXIDABLE,,1.0,236.0,,,10X30-ALLEN INOX,115,2025-04-28,68,15,19,64.0,19.0,Proveedor A,8,ok,34.07,1.39,0.67,1.06,3.12,37.19,2380.16
"M10 X 1,5-TUERCA","M10 X 1,5",TUERCA,mecanica,TUERCA,unidad,COMUN,"M10 X 1,5",,ACERO COMUN,,1.0,102.0,,,"M10 X 1,5-TUERCA",116,2025-03-24,53,20,14,59.0,22.0,Proveedor C,6,ok,12.77,0.99,0.19,0.43,1.61,14.38,848.42
R55611-RETENES,R55611,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,R55611-RETENES,117,2025-05-17,81,35,23,93.0,23.0,Proveedor C,8,ok,10.59,0.55,0.22,0.28,1.05,11.64,1082.52
"9,75-MECHA",9.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,9.75,,MECHAS,,,0.0,,,"9,75-MECHA",118,2025-02-08,61,19,13,67.0,27.0,Proveedor D,8,ok,25.78,1.1,1.33,0.58,3.01,28.79,1928.93
M10X15-BULON EXAGONAL,M10X15,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,M10X15,,ACERO COMUN,,1.0,0.0,-12,,M10X15-BULON EXAGONAL,119,2025-06-30,45,8,17,36.0,31.0,Proveedor D,9,bajo,16.87,0.86,0.76,0.41,2.03,18.9,680.4
686-2RS-Ruleman,686-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,686-2RS-Ruleman,120,2025-04-05,66,15,17,64.0,21.0,Proveedor D,7,ok,9.04,0.65,0.2,0.13,0.98,10.02,641.28
"10,75-MECHA",10.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10.75,,MECHAS,,,0.0,,,"10,75-MECHA",121,2025-03-13,72,20,15,77.0,5.0,Proveedor B,6,ok,37.24,2.21,0.99,0.97,4.17,41.41,3188.57
"M8X 1,25 X20-BULONES HEXAG","M8X 1,25 X20",BULONES HEXAG,mecanica,BULONES HEXAG,unidad,COMUN,"8X1,25X20",,ACERO COMUN,"USD 0,08",1.0,196.0,,,"M8X 1,25 X20-BULONES HEXAG",122,2025-03-30,93,31,8,116.0,25.0,Proveedor D,6,ok,27.85,2.99,0.76,0.79,4.54,32.39,3757.24
9405-RETENES,9405,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,9405-RETENES,123,2025-01-10,41,13,16,38.0,15.0,Proveedor D,9,ok,16.13,1.61,0.22,0.48,2.31,18.44,700.72
M6X20-BULONES,M6X20,BULONES,,BULONES,unidad,COMUN,M6X20,VER QUE CABEZA ES,ACERO COMUN,,1.0,0.0,,,M6X20-BULONES,124,2025-06-27,91,27,24,94.0,24.0,Proveedor A,5,ok,4.51,0.53,0.16,0.15,0.84,5.35,502.9
608-RODAMIENTO,608,RODAMIENTO,mecanica,RODAMIENTO,unidad,COMUN,608,,INOXIDABLE,,1.0,16.0,,,608-RODAMIENTO,125,2025-01-27,28,15,18,25.0,13.0,Proveedor D,7,ok,22.23,0.9,0.66,0.32,1.88,24.11,602.75
GIKR16PB-BULON CON RDAMIENTO,GIKR16PB,BULON CON RDAMIENTO,mecanica,BULON CON ROOAMIENTO,unidad,acero comun,M16,,ACERO COMUN,,1.0,1.0,,,GIKR16PB-BULON CON RDAMIENTO,126,2025-05-03,100,14,6,108.0,24.0,Proveedor D,11,ok,17.95,1.53,0.4,0.68,2.61,20.56,2220.48
3-MECHA,3,MECHA,categoria_desconocida,herramental de corte,unidad,ACERO RAPIDO,3,,MECHAS,,,0.0,,,3-MECHA,127,2025-06-22,52,4,14,42.0,40.0,Proveedor B,7,bajo,6.71,0.6,0.1,0.08,0.78,7.49,314.58
M10X45-BUL HEX INOX,M10X45,BUL HEX INOX,mecanica,HEXAGONAL,unidad,INOXIDABLE,M10X45,,INOXIDABLE,,,9.0,,,M10X45-BUL HEX INOX,128,2025-03-14,83,24,22,85.0,13.0,Proveedor C,9,ok,9.38,0.52,0.11,0.3,0.93,10.31,876.35
PHS6-BULON CON RDAMIENTO,PHS6,BULON CON RDAMIENTO,mecanica,BULON CON ROOAMIENTO,unidad,acero comun,M6,,ACERO COMUN,,1.0,3.0,,,PHS6-BULON CON RDAMIENTO,129,2025-03-18,2,17,18,1.0,22.0,Proveedor D,10,critico,24.22,1.67,0.41,0.42,2.5,26.72,26.72
"7,25-MECHA",7.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,7.25,,MECHAS,,,0.0,,,"7,25-MECHA",130,2025-01-29,36,6,19,23.0,15.0,Proveedor B,11,ok,12.11,0.94,0.59,0.41,1.94,14.05,323.15
M16X15-BUL HEX INOX,M16X15,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M16X15,,INOXIDABLE,2.33,1.0,27.0,,,M16X15-BUL HEX INOX,131,2025-02-18,22,28,9,41.0,24.0,Proveedor B,4,ok,22.91,1.06,0.96,0.37,2.39,25.3,1037.3
6303-RODAMIENTO,6303,RODAMIENTO,mecanica,RODAMIENTO,unidad,COMUN,6303,,INOXIDABLE,,1.0,12.0,,,6303-RODAMIENTO,132,2025-06-20,54,22,16,60.0,33.0,Proveedor A,12,ok,20.05,1.47,1.02,0.28,2.77,22.82,1369.2
4733010-Ruleman,4733010,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,4733010-Ruleman,133,2025-02-11,100,16,9,107.0,13.0,Proveedor A,8,ok,18.01,0.89,0.75,0.5,2.14,20.15,2156.05
M20-BULONES,M20,BULONES,mecanica,BULONES,unidad,COMUN,M20,,ACERO COMUN,,1.0,6.0,,,M20-BULONES,134,2025-02-02,70,11,14,67.0,19.0,Proveedor B,3,ok,12.88,1.11,0.76,0.14,2.01,14.89,997.63
6800-RS-Ruleman,6800-RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6800-RS-Ruleman,135,2035-01-01,61,0,13,48.0,21.0,Proveedor D,5,ok,9.64,1.09,0.2,0.24,1.53,11.17,536.16
M10X30-BULON EXAGONAL,M10X30,BULON EXAGONAL,mecanica,BULON EXAG,unidad,COMUN,10X30,,ACERO COMUN,,1.0,199.0,,,M10X30-BULON EXAGONAL,136,2025-03-19,50,21,4550,58.0,18.0,Proveedor C,5,ok,84.38,3.63,2.1,1.6,7.33,91.71,5319.18
61900-2RZ-RODAMIENTO,61900-2RZ,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61900-2RZ-RODAMIENTO,137,2025-04-18,84,30,23,91.0,27.0,Proveedor D,7,ok,6.93,0.47,0.17,0.12,0.76,7.69,699.79
M8X25-ALLEN INOX,M8X25,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X25,,INOXIDABLE,0.41,1.0,212.0,,,M8X25-ALLEN INOX,138,2025-03-19,35,25,17,43.0,25.0,Proveedor B,6,ok,4.65,0.38,0.24,0.09,0.71,5.36,230.48
686-ZRS-RODAMIENTO,686-ZRS,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,686-ZRS-RODAMIENTO,139,2025-03-02,46,14,14,46.0,14.0,Proveedor A,1,ok,20.28,1.16,1.03,0.48,2.67,22.95,1055.7
F208-CAJA RODAMIENTO,F208,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,F208-CAJA RODAMIENTO,140,2025-05-25,65,19,17,67.0,13.0,Proveedor D,2,ok,33.18,2.68,0.35,0.91,3.94,37.12,2487.04
M8-REMACHE,M8,REMACHE,mecanica,REMACHE,unidad,COMUN,M8,,ACERO COMUN,,1.0,417.0,,,M8-REMACHE,141,2025-02-08,34,16,11,39.0,16.0,Proveedor C,12,ok,18.74,1.05,0.19,0.37,1.61,20.35,793.65
T100-TELA ESMERIL,T100,TELA ESMERIL,herramientas,,,,,,VARIOS,,,,,,T100-TELA ESMERIL,142,2025-03-14,75,15,0,90.0,15.0,Proveedor D,14,ok,20.41,0.86,0.88,0.21,1.95,22.36,2012.4
M5X10-ALLEN INOX,M5X10,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,5X10,,INOXIDABLE,0.05,,0.0,,,M5X10-ALLEN INOX,143,2025-04-23,0,16,11,5.0,19.0,Proveedor B,11,critico,13.66,1.03,0.5,0.42,1.95,15.61,78.05
608-RODAMIENTO,608,RODAMIENTO,mecanica,RODAMIENTO,unidad,COMUN,608,,INOXIDABLE,,1.0,16.0,,,608-RODAMIENTO,144,2025-06-24,80,12,6,86.0,13.0,Proveedor D,14,ok,20.13,2.41,0.79,0.7,3.9,24.03,2066.58
M03-ARANDELA WROWER,M03,ARANDELA WROWER,mecanica,ARANDELA,unidad,COMUN,M03,,ACERO COMUN,,1.0,0.0,,,M03-ARANDELA WROWER,145,2025-03-10,57,3,23,37.0,24.0,Proveedor C,4,ok,16.56,1.78,0.76,0.49,3.03,19.59,724.83
POS10PL-BULON CON RDAMIENTO,POS10PL,BULON CON RDAMIENTO,mecanica,BULON CON ROOAMIENTO,unidad,acero comun,M10,,ACERO COMUN,,1.0,3.0,,,POS10PL-BULON CON RDAMIENTO,146,2025-03-05,59,19,25,53.0,21.0,Proveedor C,6,ok,19.53,2.2,0.81,0.25,3.26,22.79,1207.87
8919-RETENES,8919,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,2.0,,,8919-RETENES,147,2025-03-11,53,26,9,70.0,8.0,Proveedor D,7,ok,86.29,9.56,1.47,2.89,13.92,100.21,7014.7
M5X25-ALLEN,M5X25,ALLEN,mecanica,ALLEN,unidad,COMUN,M5X25,,ACERO COMUN,,1.0,0.0,,,M5X25-ALLEN,148,2025-06-29,31,0,7,24.0,14.0,Proveedor A,9,ok,9.28,0.84,0.55,0.28,1.67,10.95,262.8
"M10 X 1,5-TUERCA","M10 X 1,5",TUERCA,mecanica,TUERCA,unidad,COMUN,"M10 X 1,5",,ACERO COMUN,,1.0,102.0,,,"M10 X 1,5-TUERCA",149,2025-05-07,49,15,28,36.0,31.0,Proveedor D,5,bajo,7.8,0.81,0.21,0.25,1.27,9.07,326.52
M4-MACHOS,M4,MACHOS,mecanica,herramental de corte,unidad,ACERO RAPIDO,M4,,MECHAS,,,1.0,,,M4-MACHOS,150,2025-01-14,51,29,0,80.0,27.0,Proveedor D,6,ok,22.53,0.76,1.32,0.66,2.74,25.27,2021.6
6001-RS-Ruleman,6001-RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6001-RS-Ruleman,151,2025-02-01,43,21,19,45.0,,Proveedor A,12,ok,23.18,1.37,0.5,0.66,2.53,25.71,1156.95
m 5x25-BULONES HEXG,m 5x25,BULONES HEXG,mecanica,BULONES HEXAG,unidad,COMUN,m5x25,,ACERO COMUN,,1.0,0.0,,,m 5x25-BULONES HEXG,152,2025-05-26,63,20,7,76.0,22.0,Proveedor D,4,ok,17.93,0.95,0.29,0.57,1.81,19.74,1500.24
10X30-ALLEN INOX,10X30,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,10X30,,INOXIDABLE,,1.0,236.0,,,10X30-ALLEN INOX,153,2025-04-01,81,10,16,75.0,31.0,Proveedor D,8,ok,41.6,2.63,1.62,0.66,4.91,46.51,3488.25
FY506-CAJA RODAMIENTO,FY506,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,FY506-CAJA RODAMIENTO,154,2025-04-18,115,12,6,121.0,12.0,Proveedor B,1,ok,2.61,0.18,0.15,0.06,0.39,3.0,363.0
M50-M37-RETENES,M50-M37,RETENES,mecanica,RETENES,unidad,POLIACRILICO,,,ACERO COMUN,,1.0,8.0,,,M50-M37-RETENES,155,2025-05-08,59,18,16,61.0,12.0,Proveedor D,5,ok,10.86,0.4,0.44,0.31,1.15,12.01,732.61
61404-2RS1-RODAMIENTO,61404-2RS1,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61404-2RS1-RODAMIENTO,156,2025-04-14,0,36,0,36.0,21.0,Proveedor B,11,ok,13.16,1.46,0.32,0.47,2.25,15.41,554.76
UCT207-CAJA RODAMIENTO,UCT207,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,8.0,,,UCT207-CAJA RODAMIENTO,157,2025-01-22,52,20,8,64.0,16.0,Proveedor C,6,ok,36.86,3.79,1.08,1.1,5.97,42.83,2741.12
M10x25-BUL HEX INOX,M10x25,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x25,,INOXIDABLE,,1.0,13.0,,,M10x25-BUL HEX INOX,158,2025-05-30,89,32,12,109.0,8.0,Proveedor A,4,ok,5.84,0.19,0.25,0.07,0.51,6.35,692.15
M18-ARANDELA,M18,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M18,,ACERO COMUN,,1.0,90.0,,,M18-ARANDELA,159,2025-02-15,78,9,12,75.0,19.0,Proveedor D,3,ok,53.27,3.27,2.33,1.41,7.01,60.28,4521.0
M6 X20-ALLEN INOX,M6 X20,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M6X20,,INOXIDABLE,,1.0,39.0,,,M6 X20-ALLEN INOX,160,2025-06-11,47,29,9,67.0,31.0,Proveedor A,10,ok,43.73,4.04,1.46,1.27,6.77,50.5,3383.5
12-FRESA,12,FRESA,mecanica,herramental de corte,unidad,ACERO RAPIDO,12,,MECHAS,,,1.0,,,12-FRESA,161,2025-01-05,58,12,14,56.0,25.0,Proveedor D,7,ok,14.83,0.8,0.76,0.34,1.9,16.73,936.88
UCT 205 -CAJA RODAMIENTO,UCT 205,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,8.0,,,UCT 205 -CAJA RODAMIENTO,162,2025-02-08,74,14,13,75.0,14.0,Proveedor D,10,ok,22.16,0.75,0.43,0.48,1.66,23.82,1786.5
M8-TUERCA INOX,M8,TUERCA INOX,mecanica,TUERCA INOX,unidad,INOXIDABLE,M8,,INOXIDABLE,,1.0,69.0,,,M8-TUERCA INOX,163,2025-03-15,62,22,5,79.0,27.0,Proveedor D,3,ok,20.56,1.1,0.86,0.77,2.73,23.29,1839.91
"1,5-MECHA",1.5,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1.5,,MECHAS,,,2.0,,,"1,5-MECHA",164,2025-03-18,96,25,12,109.0,36.0,Proveedor B,9,ok,12.88,1.25,0.64,0.44,2.33,15.21,1657.89
M12-TUERCA INOX AUT,M12,TUERCA INOX AUT,mecanica,TUERCA INOX AUT,unidad,INOXIDABLE,M12,,INOXIDABLE,,1.0,92.0,,,M12-TUERCA INOX AUT,165,2025-05-26,28,19,16,31.0,25.0,Proveedor A,8,bajo,6.34,0.73,0.15,0.24,1.12,7.46,231.26
30011X-9-Ruleman,30011X-9,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,30011X-9-Ruleman,166,2025-04-17,76,11,17,70.0,7.0,Proveedor D,4,ok,7.48,0.43,0.17,0.26,0.86,8.34,583.8
"4,25-MECHA",4.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,4.25,,MECHAS,,,4.0,,,"4,25-MECHA",167,2025-05-22,91,22,9,104.0,23.0,Proveedor D,5,ok,46.43,2.45,1.29,0.47,4.21,50.64,5266.56
M5-ALLEN,M5,ALLEN,mecanica,ALLEN,unidad,COMUN,M5,,ACERO COMUN,,1.0,580.0,,,M5-ALLEN,168,2025-05-22,61,13,17,57.0,15.0,Proveedor A,10,ok,25.65,2.33,1.4,0.59,4.32,29.97,1708.29
M6X15-ALLEN INOX,M6X15,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M6X15,,INOXIDABLE,,1.0,158.0,,,M6X15-ALLEN INOX,169,2025-04-19,18,16,1,33.0,21.0,Proveedor D,10,ok,38.08,3.34,0.8,1.34,5.48,43.56,1437.48
9405-RETENES,9405,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,9405-RETENES,170,2025-02-15,50,25,13,62.0,9.0,Proveedor D,7,ok,26.41,2.14,0.59,0.94,3.67,30.08,1864.96
6003-2RSH-Ruleman,6003-2RSH,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,23.0,,,6003-2RSH-Ruleman,171,2025-01-17,39,26,20,45.0,8.0,Proveedor A,4,ok,10.3,0.53,0.57,0.2,1.3,11.6,522.0
61803-2RS-RODAMIENTO,61803-2RS,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,61803-2RS-RODAMIENTO,172,2025-05-24,92,14,17,89.0,20.0,Proveedor D,6,ok,16.59,1.99,0.59,0.35,2.93,19.52,1737.28
M12-MECHA MACHO P ROSCAR,M12,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M12,,MECHAS,,,1.0,,,M12-MECHA MACHO P ROSCAR,173,2025-03-24,81,39,22,98.0,24.0,Proveedor B,9,ok,21.1,0.99,1.03,0.79,2.81,23.91,2343.18
M10x25-BUL HEX INOX,M10x25,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x25,,INOXIDABLE,,1.0,13.0,,,M10x25-BUL HEX INOX,174,2025-02-23,84,24,13,95.0,1.0,Proveedor B,2,ok,36.64,2.51,1.1,0.78,4.39,41.03,3897.85
6211-2RS-Ruleman,6211-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6211-2RS-Ruleman,175,2025-05-18,68,29,12,85.0,15.0,Proveedor C,7,ok,11.01,1.16,0.51,0.25,1.92,12.93,1099.05
M17-ARANDELA INOX,M17,ARANDELA INOX,mecanica,ARANDELA INOX,unidad,INOXIDABLE,M17,,INOXIDABLE,,1.0,28.0,,,M17-ARANDELA INOX,176,2025-05-13,66,24,31,59.0,17.0,Proveedor B,9,ok,23.45,1.88,0.38,0.48,2.74,26.19,1545.21
M8X30-BUL HEX INOX,M8X30,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M8X30,,INOXIDABLE,,1.0,31.0,,,M8X30-BUL HEX INOX,177,2025-06-25,37,14,12,39.0,23.0,Proveedor A,1,ok,6.51,0.55,0.29,0.23,1.07,7.58,295.62
6314-Ruleman,6314,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,5.0,,,6314-Ruleman,178,2025-06-11,89,18,21,86.0,34.0,Proveedor B,9,ok,21.92,2.12,0.77,0.28,3.17,25.09,2157.74
M6-TUERCA AUT,M6,TUERCA AUT,mecanica,TUERCA AUT,unidad,COMUN,M6,,ACERO COMUN,,1.0,52.0,,,M6-TUERCA AUT,179,2025-06-06,66,14,20,60.0,7.0,Proveedor A,7,ok,8.08,0.76,0.26,0.22,1.24,9.32,559.2
"12,75-MECHA",12.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,12.75,,MECHAS,,,2.0,,,"12,75-MECHA",180,2025-04-24,68,34,28,74.0,20.0,Proveedor D,2,ok,6.85,0.82,0.35,0.15,1.32,8.17,604.58
M8X30-ALLEN INOX,M8X30,ALLEN INOX,mecanica,ALLEN INOX,unidad,INOXIDABLE,M8X30,,INOXIDABLE,0.25,1.0,292.0,,,M8X30-ALLEN INOX,181,2025-02-16,24,15,18,21.0,15.0,Proveedor D,1,bajo,7.77,0.27,0.35,0.09,0.71,8.48,178.08
M26-TUERCA,M26,TUERCA,mecanica,TUERCA,unidad,COMUN,M26,,ACERO COMUN,,1.0,0.0,,,M26-TUERCA,182,2025-03-05,49,3,5,47.0,26.0,Proveedor A,7,ok,35.88,1.88,0.75,1.03,3.66,39.54,1858.38
SCS20-RODAMIENTO,SCS20,RODAMIENTO,seguridad,,unidad,SCS 20,,,MENINO,,1.0,0.0,,,SCS20-RODAMIENTO,183,2025-01-24,90,0,16,74.0,15.0,Proveedor B,9,ok,12.51,0.71,0.36,0.36,1.43,13.94,1031.56
